feature,importance
Variation du poids,4.4893021669252935
frequency_dispersion_Power_Spectrum_Density_ML_YF_follow-up,4.24757495371201
SCORE FROP COM HORS AMTS SCORE FROPCOM0011,2.999592324159412
LFS_ML_AND_AP_YF_baseline,2.5690671000913676
DoubleStance_follow-up,2.4049133202326676
Sta_ROM_lML_baseline,2.139282027683303
range_ratio_ML_AND_AP_YF_baseline,2.0299048989427724
SF36-36,1.940023993261913
mean_velocity_ML_YF_follow-up,1.7940570428776783
Sta_Att_gAP_follow-up,1.761687556901769
RoliTronc_follow-up,1.739240872648682
critical_time_Diffusion_AP_YF_baseline,1.661816799721003
frequency_mode_Power_Spectrum_Density_ML_YF_follow-up,1.516997010140548
mean_value_ML_YO_follow-up,1.2136811702532264
leftHandV2_baseline,1.1286019222340848
Sta_Att_gAP_baseline,1.0567191422933662
SwingMeanStrideDuration_baseline,1.0460688367498858
Sym_P1P2_aCC_LB2_follow-up,1.0370032904682147
Score_YO_baseline,1.0344137143180103
zero_crossing_SPD_AP_YO_baseline,0.977721338230848
mean_value_ML_YF_baseline,0.9484853373652522
Sta_Lyap_GyrYWaist_follow-up,0.933897008690173
Sta_Lyap_AccZWaist_baseline,0.8651341026048509
Ste_cvSwT_L_baseline,0.7764240501876831
maximal_distance_ML_YO_follow-up,0.7526376438130964
mean_peak_Sway_Density_YO_baseline,0.7376228994423013
Sta_RMS_gAP_LB_follow-up,0.7323959117882776
FROPCOM0027,0.7263719809108472
Sta_Att_aAP_baseline,0.7248702888457483
HHIE01_SQ004_,0.7169367324806614
FRAGIRE17,0.7133097698209752
SPPB06,0.709235914058832
short_time_scaling_Diffusion_ML_YO_follow-up,0.7022194155724408
mean_distance_AP_YO_follow-up,0.6823022415928716
Ste_P2_aAP_LB2_baseline,0.6662294053713853
Ste_FFTqaAP_LB_follow-up,0.6645831263684642
long_time_scaling_Diffusion_AP_YF_follow-up,0.6635006293748305
Ste_FFTqaCC_LB_baseline,0.6633211196178914
Smo_Ent_AccZWaist_follow-up,0.6460710960406895
SF36-Role limitations due to emotional problems,0.6423471432444818
ICOPE003_SQ003_,0.6407293621299086
SCORE ICOPE STEP1 REPERAGE GLOBAL,0.6275553418462564
FRAGIRE CALCUL PONDERATION,0.6149846455637888
Sta_Lyap_AccYWaist_baseline,0.6052522247565595
Ste_P2_aAP_LB2_follow-up,0.602188380711768
Score_YF_baseline,0.5956289454703163
fractal_dimension_ML_AND_AP_YF_baseline,0.5947821840684545
frequency_mode_Power_Spectrum_Density_AP_YF_baseline,0.5677078453310707
Sym_HRaAP_LB_baseline,0.5628027414281889
SPPB_06_07_Variation_Vitesse_Absolue,0.5613244652216591
centroid_frequency_Power_Spectrum_Density_ML_YO_baseline,0.5532711080685543
BMI,0.551858667178077
FROPCOM0013,0.5464199999723973
Ste_P2_aCC_LB2_baseline,0.5445947294251694
FORCEPREHENSION,0.5387811708270092
FROPCOM0023,0.5258181337793607
mean_value_AP_YF_baseline,0.5252376521194589
