feature,importance
FORCEPREHENSION,17.297588633126885
Sexe,9.315719612469376
EXAMCLIN02,8.349737018922307
SPPB7,4.17253751396242
Sta_Att_aAP_baseline,4.031148864436878
mean_value_ML_YF_follow-up,3.592975955370078
SCORE FROP COM HORS AMTS SCORE FROPCOM0011,2.957553040702515
Sta_Att_gCC_baseline,2.620355755697152
MNAEVALGLOBALESCORE,2.5108036891134597
Ste_FFTqaML_LB_follow-up,2.4991179919719433
FRAGIRE CALCUL TEST 3 VITMARCH.,2.495025951132822
SPPB06,1.4738374614195977
FROPCOM0027,1.3904685666143393
SCORE TOTAL SPPB,1.356286838878071
SF36-Physical functioning,1.1165323038927313
Smo_ROM_anML_follow-up,0.988980328299124
CycleVariability_baseline,0.9364034293647023
Smo_Ent_GyrZWaist_follow-up,0.904029944205698
critical_time_Diffusion_AP_YF_baseline,0.8559257524602526
Sta_Att_aAP_follow-up,0.8310798995581872
DoubleStance_baseline,0.8136003135258039
Sta_Att_aML_baseline,0.8050763898600246
long_time_scaling_Diffusion_ML_YF_follow-up,0.6701915394437161
Sta_Lyap_AccXWaist_follow-up,0.6385842594158655
EXAMCLIN023,0.6360896939869392
Sta_Lyap_AccZWaist_follow-up,0.6360018214274002
Ste_FFTqaCC_LB_follow-up,0.6194179045895822
FROPCOM0005,0.6143365874353249
mean_value_ML_YF_baseline,0.5936289505388099
FROPCOM0007_SQ015_,0.561212126568271
SF3603_SQ006_,0.5524427595789441
Smo_Ent_GyrYWaist_baseline,0.5300326202314598
Sta_Lyap_AccYWaist_follow-up,0.5229953715065093
rightHandV1_follow-up,0.5093644632771871
Ste_FFTqaAP_LB_baseline,0.46975920109738556
SPPB_06_07_Variation_Vitesse_Absolue,0.46549098790523996
Stu_RMS_aAPF_follow-up,0.45163991780343704
Ste_P2_aCC_LB2_baseline,0.44624735246050545
Ste_FFTqgCC_LB_follow-up,0.4392937080754645
Sta_Att_gML_follow-up,0.43893795592488294
DoubleStance_follow-up,0.4332923945864439
MeanStepDuration_follow-up,0.4190308826117037
rightHandV2_follow-up,0.41634097818842564
Sym_P1P2_aAP_LB2_follow-up,0.4058389101129326
zero_crossing_SPD_ML_YF_baseline,0.38977055244478387
FRAGIRE CALCUL PONDERATION,0.38731846224706573
fractal_dimension_ML_AND_AP_YO_follow-up,0.358706906678073
leftHandV2_baseline,0.350329358031636
leftHandV1_baseline,0.3469143749015058
zero_crossing_SPD_ML_YO_baseline,0.3345372931930878
energy_content_05_2_Power_Spectrum_Density_AP_YO_follow-up,0.33099933859210856
rightHandV1_baseline,0.31989562743353794
critical_time_Diffusion_ML_YO_follow-up,0.31569076985210676
SF3609_SQ007_,0.3098311144549015
zero_crossing_SPD_ML_YO_follow-up,0.30658619299493123
EPICE000_SQ006_,0.29945095736320315
coefficient_sway_direction_ML_AND_AP_YO_follow-up,0.2918383933475307
SF3603_SQ001_,0.2800706848541146
frequency_quotient_Power_Spectrum_Density_AP_YF_baseline,0.27950351043202504
EXAMCLIN01_SQ001_SQ001_,0.2767672915818916
Sta_ROM_lML_follow-up,0.27480951703201945
CycleVariability_follow-up,0.2665164890277964
Smo_Ent_AccXWaist_baseline,0.26208111300598574
MNAEVALGLOBALEP,0.26000440117302487
HADS TOTAL A,0.2537809103681142
EXAMCLIN01_SQ003_SQ001_,0.252918416345948
S36-Energy_fatigue,0.24595192044355024
Sta_Lyap_GyrZWaist_follow-up,0.23781791654830076
Sta_Lyap_AccYWaist_baseline,0.23559890128765076
sway_area_per_second_ML_AND_AP_YO_follow-up,0.23514356758486604
mean_distance_ML_YF_follow-up,0.22849952539515894
short_time_scaling_Diffusion_ML_YO_baseline,0.21275810888550328
critical_time_Diffusion_ML_YF_follow-up,0.21272365863157994
frequency_dispersion_Power_Spectrum_Density_AP_YF_follow-up,0.2117772049160555
Sta_Lyap_GyrXWaist_follow-up,0.20831732473584083
HADS006,0.2044718361967822
Ste_cvSwT_L_follow-up,0.20035106289635157
Sym_HRaAP_LB_baseline,0.1930808441360178
mean_value_AP_YF_baseline,0.19211319333546678
total_power_Power_Spectrum_Density_AP_YO_follow-up,0.18489263784682558
SF36-Role limitations due to physical health ,0.1847691680662269
Sta_Lyap_GyrZWaist_baseline,0.18255918691330464
SF3603_SQ008_,0.16067907563901676
coefficient_sway_direction_ML_AND_AP_YF_follow-up,0.15260604427861918
Smo_Ent_GyrYWaist_follow-up,0.15212858874155513
Sym_P1P2_aAP_LB2_baseline,0.1491051902015811
Ste_FFTqgML_LB_baseline,0.14666611281870232
mean_peak_Sway_Density_YF_follow-up,0.13797409103111877
mean_peak_Sway_Density_YO_baseline,0.13793518363470575
RoliTronc_baseline,0.1345542354326621
HHIE01_SQ004_,0.12896894311616866
long_time_scaling_Diffusion_AP_YO_baseline,0.12700504168945242
range_ratio_ML_AND_AP_YO_follow-up,0.12467746412566257
Sta_RMS_gAP_LB_baseline,0.11301212318919973
mean_velocity_AP_YO_follow-up,0.11254148407358382
frequency_mode_Power_Spectrum_Density_ML_YF_baseline,0.11223276763027361
power_frequency_95_Power_Spectrum_Density_ML_YO_follow-up,0.11151385464330507
Ste_FFTqgAP_LB_follow-up,0.11090142992438987
rightHandV2_baseline,0.11061713185093484
Sym_HRaCC_LB_follow-up,0.1070321255334062
Syn_ffT_baseline,0.10581018276849016
zero_crossing_SPD_AP_YF_follow-up,0.10577787672584335
centroid_frequency_Power_Spectrum_Density_ML_YO_baseline,0.10533051699446358
Smo_Ent_AccYWaist_follow-up,0.10498053613737608
Spr_SwT_R_follow-up,0.10346388976712781
MNAEVALGLOBALEK,0.10046814608186234
maximal_distance_AP_YO_follow-up,0.10017338246895095
Sta_Lyap_GyrXWaist_baseline,0.09842045462546549
Ste_FFTqgML_LB_follow-up,0.09325621745550948
Sta_RMS_aML_LB_baseline,0.09156611067692014
Sta_ROM_lML_baseline,0.08567977601256031
AvgSpeed_baseline,0.08523867431621468
Smo_Ent_GyrXWaist_follow-up,0.08223311975569833
Spr_UtrT_follow-up,0.08214214481333401
SPPB9,0.08095614614050654
RoliTronc_follow-up,0.08062082989607441
MFESCALE000_SQ007_,0.0783568676239617
Sta_Att_aML_follow-up,0.07741707063697875
power_frequency_95_Power_Spectrum_Density_ML_YF_follow-up,0.07442751599322547
SF3603_SQ004_,0.07240283286441382
SCORE SAPAS DE MORAN,0.07145507656847203
Ste_cvT_baseline,0.07078007124627608
mean_frequency_ML_YF_follow-up,0.06819796134218256
Smo_Ent_AccXWaist_follow-up,0.065225337487335
frequency_mode_Power_Spectrum_Density_AP_YF_follow-up,0.06279789911428471
BMI,0.061440850159853025
mean_distance_ML_YO_follow-up,0.05640286647974056
energy_content_above_2_Power_Spectrum_Density_AP_YF_follow-up,0.054698008139823784
Sym_P1P2_aCC_LB2_follow-up,0.053887235421269074
Smo_Ent_AccYWaist_baseline,0.0514545954954931
Ste_FFTqaAP_LB_follow-up,0.05144759507907831
AvgSpeed_follow-up,0.050660949133925506
Ste_FFTqgAP_LB_baseline,0.05032644375729558
