feature,importance
SCORE FROP COM HORS AMTS SCORE FROPCOM0011,0.01449165923905627
DoubleStance_follow-up,0.012222843946143092
long_time_diffusion_Diffusion_AP_YF_follow-up,0.010316587512963184
LFS_ML_AND_AP_YF_baseline,0.00977217643254957
Sta_Att_gAP_follow-up,0.00952442021446476
range_ratio_ML_AND_AP_YF_baseline,0.00789373147754195
frequency_mode_Power_Spectrum_Density_ML_YF_follow-up,0.007718778655999825
Sta_Lyap_GyrXWaist_baseline,0.0074695420686208425
Sta_Lyap_AccXWaist_follow-up,0.006875816466619822
Sta_Lyap_GyrYWaist_follow-up,0.0067660231354561146
Sta_RMS_gAP_LB_follow-up,0.006733263208167526
RoliTronc_follow-up,0.006672942382085383
frequency_dispersion_Power_Spectrum_Density_ML_YF_follow-up,0.006563851709519075
Ste_P2_aAP_LB2_follow-up,0.0063602276440493264
Score_YO_baseline,0.006343916052305401
mean_frequency_ML_YF_baseline,0.0062960716900174445
Variation du poids,0.0061698133586526194
Sta_Att_gAP_baseline,0.006029219814215595
AvgSpeed_baseline,0.0060248937925584025
mean_velocity_ML_YF_follow-up,0.005940607849458047
SF36-36,0.005898919928116394
Sta_Lyap_GyrZWaist_baseline,0.005606996539091001
SF3611_SQ004_,0.005591836715946909
Sta_Lyap_AccZWaist_baseline,0.005489118483723738
Sta_Att_aAP_baseline,0.005404278178333203
maximal_distance_ML_YO_follow-up,0.005341998650986321
Smo_Ent_AccZWaist_follow-up,0.005340494626257551
AvgSpeed_follow-up,0.005256960612094088
leftHandV2_baseline,0.005235787271907382
Sta_ROM_lML_baseline,0.005043486579841064
FRAGIRE CALCUL PONDERATION,0.00502688045385828
power_frequency_50_Power_Spectrum_Density_ML_YF_follow-up,0.004973448032631163
Sta_Att_gML_baseline,0.004860287721430755
mean_peak_Sway_Density_YF_baseline,0.004857941727388435
Sta_Att_aAP_follow-up,0.004790067936878809
mean_distance_peak_Sway_Density_YO_follow-up,0.004694637403307973
fractal_dimension_ML_AND_AP_YF_baseline,0.004608180705164146
mean_distance_AP_YO_follow-up,0.004576003288164205
frequency_mode_Power_Spectrum_Density_ML_YF_baseline,0.00450766843972119
Stu_RMS_aAPF_baseline,0.00434822596104303
RoliTronc_baseline,0.004308481350742461
mean_peak_Sway_Density_YO_baseline,0.004222044938787954
Sym_P1P2_aCC_LB2_follow-up,0.004207733110789884
Stu_RMS_aCCF_baseline,0.004145358645517296
SPPB06,0.004144738519552871
total_power_Power_Spectrum_Density_AP_YO_follow-up,0.004142712167758191
centroid_frequency_Power_Spectrum_Density_ML_YF_baseline,0.004126229731830035
SPPB_06_07_Variation_Vitesse_Absolue,0.0041115843245302566
mean_distance_AP_YF_follow-up,0.004068212090204451
Smo_Ent_GyrXWaist_follow-up,0.004019736340727453
mean_distance_ML_YF_follow-up,0.0040093482200360825
Ste_P2_aAP_LB2_baseline,0.003983700204005031
FROP COM INTERPRETATION,0.003941977670382797
Ste_cvSwT_R_follow-up,0.003866799891515152
Ste_FFTqaCC_LB_baseline,0.0038518745266471546
maximal_distance_AP_YO_follow-up,0.0038305651222597737
Score_YO_follow-up,0.003768219941287394
Variance_Latérale_YF_follow-up,0.0037559167071754143
Sta_Att_aML_baseline,0.0036852758256190666
rightHandV2_baseline,0.0036501570046481345
SF36-Physical functioning,0.0036456605840734244
SCORE ICOPE STEP1 REPERAGE GLOBAL,0.003623115037142806
mean_peak_Sway_Density_YF_follow-up,0.003609040486262021
critical_time_Diffusion_AP_YF_baseline,0.0035972454041257795
LFS_ML_AND_AP_YO_baseline,0.0035768230567180593
mean_frequency_ML_YF_follow-up,0.0035413905576830427
range_ratio_ML_AND_AP_YF_follow-up,0.003541372717056037
SwingMeanStrideDuration_baseline,0.0035404841947112046
FROPCOM0007 - COTATION QUESTION,0.0035394896313608185
frequency_quotient_Power_Spectrum_Density_ML_YF_follow-up,0.0035215973525726495
Sym_HRaCC_LB_follow-up,0.0034347470717897162
CycleVariability_follow-up,0.0034288517550729847
DoubleStance_baseline,0.00341287601059861
Sym_HRaAP_LB_follow-up,0.0033951339591231458
HHIE02,0.003377313647123282
SPPB_06_07_Variation_Vitesse_Relative,0.0033606480395488234
rightHandV1_baseline,0.0033548761060572647
power_frequency_95_Power_Spectrum_Density_ML_YF_baseline,0.0033440220931347823
short_time_scaling_Diffusion_ML_YF_follow-up,0.003338813245094665
critical_displacement_Diffusion_AP_YF_follow-up,0.003334260188258184
SCORE TOTAL SPPB,0.003281995672586692
FRAGIRE01_SQ001_,0.0032477053400434782
EXAMCLIN01_SQ001_SQ001_,0.0032377969910514412
HHIE01_SQ004_,0.0032181725119457653
Spr_SwT_L_baseline,0.003193367547925167
energy_content_above_2_Power_Spectrum_Density_AP_YO_follow-up,0.00316418605080402
SPPB7,0.003143362610304563
Sym_P1P2_aAP_LB2_follow-up,0.003142195388496799
centroid_frequency_Power_Spectrum_Density_AP_YF_baseline,0.0031084681481388
coefficient_sway_direction_ML_AND_AP_YF_baseline,0.0031065754308275614
frequency_dispersion_Power_Spectrum_Density_AP_YF_follow-up,0.0030928324621376088
