feature,importance
DoubleStance_follow-up,0.056403756
FORCEPREHENSION,0.036919393
EXAMCLIN02,0.030934032
EXAMCLIN01_SQ003_SQ001_,0.029243385
Sta_Lyap_AccZWaist_baseline,0.027586143
Ste_FFTqaCC_LB_follow-up,0.02557242
SF36-Physical functioning,0.023971306
SPPB06,0.022041315
leftHandV1_baseline,0.019618977
Spr_UtrT_baseline,0.019407928
FROPCOM0006_S4_,0.016421493
leftHandV2_baseline,0.016161248
Sta_Lyap_AccYWaist_follow-up,0.0154182315
HHIE01_SQ004_,0.01354965
Syn_ffT_baseline,0.013130297
zero_crossing_SPD_ML_YF_baseline,0.012828884
SCORE FROP COM HORS AMTS SCORE FROPCOM0011,0.012388885
SF3609_SQ007_,0.012008742
FROPCOM0007_SQ015_,0.011896433
MMSE08SCORETOTAL,0.011891471
power_frequency_95_Power_Spectrum_Density_ML_YF_follow-up,0.010538429
CycleVariability_baseline,0.010484522
Sta_Lyap_AccXWaist_follow-up,0.010344166
zero_crossing_SPD_ML_YO_baseline,0.010256059
frequency_dispersion_Power_Spectrum_Density_AP_YF_baseline,0.010004668
Ste_FFTqgCC_LB_follow-up,0.009713018
SPPB07 - COTATION,0.009443907
MeanStepDuration_follow-up,0.009372754
FRAGIRE CALCUL TEST 3 VITMARCH.,0.009263294
Smo_Ent_AccXWaist_follow-up,0.008732725
MNADEPISTAGEF,0.008511086
Sta_Att_aAP_follow-up,0.008235609
Sexe,0.007868653
FROPCOM0018,0.0078079356
Sta_Att_aAP_baseline,0.0077217952
SF3608,0.0074768723
SF36-Pain,0.007445504
MNASCORETOTAL,0.0073517626
mean_peak_Sway_Density_YF_baseline,0.0071825273
frequency_dispersion_Power_Spectrum_Density_ML_YF_follow-up,0.0070672184
MMSE06LANGAGE1_SQ003_,0.0070382603
HHIE01_SQ006_,0.006946405
ACUITEVISUELLE3_SQ003_,0.006850262
EPICE000_SQ006_,0.0068261223
Sta_Lyap_AccZWaist_follow-up,0.0067367805
rightHandV1_baseline,0.0062073986
frequency_quotient_Power_Spectrum_Density_AP_YF_baseline,0.0060985694
Ste_FFTqgML_LB_baseline,0.0059095686
SCORE TOTAL SPPB,0.005723636
SF3609_SQ009_,0.0056203688
SF3611_SQ002_,0.005469909
AvgSpeed_baseline,0.005362806
CycleVariability_follow-up,0.0053504184
SF3611_SQ001_,0.005339105
coefficient_sway_direction_ML_AND_AP_YF_follow-up,0.0053050807
Variation du poids,0.0051427064
Ste_FFTqaAP_LB_baseline,0.005138963
MFESCALE000_SQ006_,0.0050657014
SF3603_SQ001_,0.0049852813
MNAEVALGLOBALER,0.004729879
ICOPE0041,0.0046130167
mean_peak_Sway_Density_YF_follow-up,0.0045280135
Smo_Ent_GyrZWaist_baseline,0.0044116476
SCORE FROP COM SCREEN,0.0043978305
Age a l inclusion,0.004223003
FROPCOM0005,0.004101673
frequency_mode_Power_Spectrum_Density_AP_YF_baseline,0.004100036
Smo_Ent_GyrYWaist_follow-up,0.004063891
SPPB7,0.00404459
long_time_scaling_Diffusion_ML_YF_follow-up,0.0039867135
HADS TOTAL A,0.0039767968
Sta_Att_gML_follow-up,0.0038660627
Stu_RMS_aAPF_follow-up,0.0037120376
Sta_Lyap_GyrZWaist_follow-up,0.0037024715
FROPCOM0027,0.003415405
mean_peak_Sway_Density_YO_follow-up,0.0034025107
energy_content_below_05_Power_Spectrum_Density_AP_YF_follow-up,0.0033233513
Smo_ROM_anML_follow-up,0.0032858574
SF3604_SQ003_,0.0032478604
SPPB9,0.0032317303
MFESCALE000_SQ007_,0.003183157
Ste_cvSwT_R_baseline,0.0031335787
Stu_RMS_aCCF_follow-up,0.0030963006
MNAEVALGLOBALEO,0.0030870342
AvgSpeed_follow-up,0.0030196258
FROPCOM0016,0.0029404177
Chute_1,0.0028842941
Ste_cvSwT_R_follow-up,0.0028818261
VINICODEX0004_SQ006_,0.0028496417
BMI,0.0028379601
Sta_Lyap_GyrZWaist_baseline,0.0028350842
MNAEVALGLOBALESCORE,0.0027989452
mean_peak_Sway_Density_YO_baseline,0.0027795811
critical_time_Diffusion_ML_YO_follow-up,0.002753222
mean_value_ML_YF_follow-up,0.0027492337
principal_sway_direction_ML_AND_AP_YO_follow-up,0.002734587
Ste_FFTqaML_LB_follow-up,0.0026516516
power_frequency_95_Power_Spectrum_Density_AP_YO_follow-up,0.0026018566
LFS_ML_AND_AP_YO_follow-up,0.0025819645
Smo_Ent_AccYWaist_follow-up,0.0025755973
critical_time_Diffusion_ML_YF_follow-up,0.0025515887
mean_value_ML_YF_baseline,0.0025484355
Smo_Ent_GyrZWaist_follow-up,0.002516664
HADS TOTAL D,0.002512933
MNAEVALGLOBALEP,0.0024770522
Sta_ROM_lML_follow-up,0.0024583056
mean_value_AP_YF_follow-up,0.002435853
RoliTronc_follow-up,0.002408016
HADS004,0.0023643635
DoubleStance_baseline,0.0023293265
Sta_Att_aML_baseline,0.0023084092
mean_frequency_ML_YF_baseline,0.0022892698
power_frequency_50_Power_Spectrum_Density_ML_YF_baseline,0.0022802742
FRAGIRE06TEST1_SQ001_SQ004_,0.0022305665
MMSE05ATTETCALCUL_SQ001_,0.002154414
MNAEVALGLOBALEH,0.0021442228
Ste_cvSwT_L_follow-up,0.0020343359
SPPB02,0.002027517
Smo_Ent_AccYWaist_baseline,0.001947378
FROPCOM0010,0.0019442684
coefficient_sway_direction_ML_AND_AP_YF_baseline,0.0019217578
mean_distance_ML_YO_follow-up,0.0018953409
HHIE02,0.0018921025
centroid_frequency_Power_Spectrum_Density_ML_YF_follow-up,0.0018857557
FROPCOM0014,0.0017051592
MMSE06LANGAGE4_SQ001_,0.0016991764
rightHandV1_follow-up,0.0016867819
MMSE06LANGAGE3_SQ001_,0.0016755763
VINICODEX002_SQ002_,0.001669211
FROPCOM0007_SQ007_,0.0016565289
SF3603_SQ003_,0.0016084956
critical_time_Diffusion_AP_YO_baseline,0.0015686124
EXAMCLIN01_SQ001_SQ001_,0.0015642832
Sta_Att_gCC_follow-up,0.0015403951
FROPCOM0006_S1_,0.001530967
power_frequency_95_Power_Spectrum_Density_AP_YO_baseline,0.0015237865
HHIE01_SQ005_,0.0015096591
zero_crossing_SPD_AP_YO_baseline,0.0014302551
Smo_ROM_anML_baseline,0.0013309934
mean_value_AP_YO_baseline,0.0013086213
frequency_mode_Power_Spectrum_Density_AP_YO_follow-up,0.001291998
critical_time_Diffusion_ML_YF_baseline,0.0012735542
HADS007,0.0012670974
mean_distance_ML_YF_follow-up,0.0012435463
FRAGIRE CALCUL PONDERATION,0.0012228774
frequency_quotient_Power_Spectrum_Density_ML_YF_follow-up,0.0012203805
SPPB_06_07_Variation_Vitesse_Absolue,0.0011548505
FROPCOM0007_SQ016_,0.0011325681
Sta_Lyap_AccYWaist_baseline,0.0011173611
