feature,importance
FORCEPREHENSION,20.019302015564314
EXAMCLIN02,12.145651326055217
Sexe,10.544911886931725
SPPB7,5.5855558801357255
SPPB06,4.306897711042433
SCORE FROP COM HORS AMTS SCORE FROPCOM0011,4.060217345330563
Ste_FFTqaML_LB_follow-up,2.2604198283343426
SCORE TOTAL SPPB,2.2391315579288262
SF36-Physical functioning,1.9699472004021388
FRAGIRE CALCUL TEST 3 VITMARCH.,1.869619707275605
EXAMCLIN023,1.6950376088296562
zero_crossing_SPD_ML_YF_baseline,1.385597796014886
FROPCOM0005,1.2984954494415473
SF3603_SQ001_,0.9989634496107886
Smo_Ent_GyrYWaist_baseline,0.9402280346989784
FROPCOM0027,0.8628786812559553
FROPCOM0018,0.7977660703377512
EXAMCLIN01_SQ003_SQ001_,0.7871383790444707
Sym_P1P2_aAP_LB2_follow-up,0.7783867106576884
Sta_Att_gML_follow-up,0.756721352329421
Ste_FFTqaAP_LB_baseline,0.7491429432875384
EXAMCLIN01_SQ001_SQ001_,0.7084760339186934
HADS TOTAL A,0.7007205777638188
VINICODEX002_SQ002_,0.6609300479246242
Sta_Att_aML_baseline,0.6187948530714144
zero_crossing_SPD_ML_YO_follow-up,0.6176347250870073
Age a l inclusion,0.602157067144568
HADS TOTAL D,0.539240338014702
SF3610,0.5096765626619636
EPICE000_SQ003_,0.48486483827858756
critical_time_Diffusion_AP_YF_follow-up,0.4732130020025724
SF3607,0.46137237710440715
SPPB_06_07_Variation_Vitesse_Absolue,0.45017708451712624
Sta_Att_aAP_baseline,0.4362780984233474
Ste_FFTqgML_LB_baseline,0.40998826898339435
FROPCOM0007_SQ015_,0.4077948646364392
Sta_Lyap_GyrXWaist_follow-up,0.3909066799936282
long_time_scaling_Diffusion_ML_YF_follow-up,0.3540710621131967
FRAGIRE CALCUL PONDERATION,0.3532492555275629
Sta_Lyap_GyrZWaist_baseline,0.3519925263749782
SF36-31,0.3319424092660756
SCORE FROP COM SCREEN,0.3271310190587289
Sta_Lyap_AccZWaist_follow-up,0.32652528565895855
Ste_FFTqaML_LB_baseline,0.3157037127470371
centroid_frequency_Power_Spectrum_Density_ML_YF_follow-up,0.2889977939226722
Smo_ROM_anML_baseline,0.2700086193219556
Ste_FFTqgCC_LB_follow-up,0.2607110647327896
Sta_ROM_lML_baseline,0.25922675791807
frequency_dispersion_Power_Spectrum_Density_AP_YF_baseline,0.2535537612599766
critical_time_Diffusion_ML_YF_baseline,0.2427210194898617
Ste_FFTqaCC_LB_follow-up,0.24088928682358093
short_time_scaling_Diffusion_AP_YO_follow-up,0.23857305087947367
Syn_ffT_follow-up,0.23572732349562303
CycleVariability_baseline,0.22323608757624167
FRAGIRE06TEST1_SQ001_SQ001_,0.22117759793289418
RoliTronc_baseline,0.21920860283557958
SF3604_SQ003_,0.21684913049453325
long_time_scaling_Diffusion_ML_YO_baseline,0.2158290851829569
