feature,importance
EXAMCLIN02,129.8
Sexe,111.4
FORCEPREHENSION,99.4
SPPB06,38.2
SPPB7,33.6
Ste_cvSwT_R_baseline,27.0
Ste_FFTqaML_LB_follow-up,24.6
Ste_FFTqgCC_LB_follow-up,24.2
Sym_P1P2_aAP_LB2_baseline,19.6
Sta_Lyap_AccXWaist_baseline,19.0
Ste_cvSwT_L_baseline,13.4
Smo_Ent_GyrYWaist_baseline,8.4
zero_crossing_SPD_ML_YO_baseline,7.6
Smo_Ent_GyrZWaist_baseline,7.6
SCORE FROP COM HORS AMTS SCORE FROPCOM0011,7.6
SPPB_06_07_Variation_Vitesse_Relative,7.4
HHIE01_SQ001_,6.4
Sym_HRaCC_LB_baseline,5.6
mean_value_ML_YF_baseline,4.8
HHIE02,4.0
coefficient_sway_direction_ML_AND_AP_YF_baseline,4.0
fractal_dimension_ML_AND_AP_YO_baseline,3.6
long_time_scaling_Diffusion_AP_YF_baseline,2.8
EXAMCLIN01_SQ001_SQ001_,2.8
power_frequency_50_Power_Spectrum_Density_AP_YO_baseline,2.4
zero_crossing_SPD_ML_YF_baseline,2.0
Stu_RMS_aAPF_baseline,1.4
critical_time_Diffusion_AP_YF_baseline,1.0
Smo_Ent_AccYWaist_baseline,0.8
HHIE01_SQ010_,0.6
critical_time_Diffusion_AP_YO_baseline,0.4
critical_time_Diffusion_ML_YO_baseline,0.4
FRAGIRE CALCUL PONDERATION,0.4
FRAGIRE09,0.4
HADS TOTAL D,0.4
SwingMeanStrideDuration_baseline,0.4
Variation du poids,0.4
long_time_scaling_Diffusion_ML_YO_follow-up,0.2
Sta_Att_gML_baseline,0.2
zero_crossing_SPD_ML_YF_follow-up,0.2
Patient bénéficiant de Lunettes de vue,0.2
Sta_Att_aAP_baseline,0.2
Spr_UtrT_follow-up,0.2
Sta_ROM_lML_baseline,0.2
SCORE TOTAL STI,0.2
long_time_diffusion_Diffusion_AP_YF_follow-up,0.2
frequency_mode_Power_Spectrum_Density_ML_YO_follow-up,0.2
LFS_ML_AND_AP_YO_baseline,0.2
power_frequency_50_Power_Spectrum_Density_ML_YO_follow-up,0.2
zero_crossing_SPD_ML_YO_follow-up,0.2
Ste_P2_aAP_LB2_follow-up,0.2
mean_velocity_AP_YO_follow-up,0.0
fractal_dimension_ML_AND_AP_YO_follow-up,0.0
short_time_scaling_Diffusion_ML_YF_baseline,0.0
critical_time_Diffusion_ML_YF_follow-up,0.0
critical_time_Diffusion_ML_YF_baseline,0.0
mean_velocity_ML_YO_follow-up,0.0
frequency_quotient_Power_Spectrum_Density_AP_YF_follow-up,0.0
frequency_quotient_Power_Spectrum_Density_AP_YF_baseline,0.0
frequency_quotient_Power_Spectrum_Density_ML_YF_follow-up,0.0
mean_peak_Sway_Density_YO_baseline,0.0
sway_area_per_second_ML_AND_AP_YO_follow-up,0.0
mean_distance_peak_Sway_Density_YO_follow-up,0.0
frequency_quotient_Power_Spectrum_Density_ML_YF_baseline,0.0
energy_content_above_2_Power_Spectrum_Density_AP_YF_follow-up,0.0
LFS_ML_AND_AP_YO_follow-up,0.0
energy_content_below_05_Power_Spectrum_Density_AP_YF_follow-up,0.0
frequency_dispersion_Power_Spectrum_Density_AP_YF_follow-up,0.0
frequency_dispersion_Power_Spectrum_Density_AP_YF_baseline,0.0
frequency_dispersion_Power_Spectrum_Density_ML_YF_follow-up,0.0
frequency_dispersion_Power_Spectrum_Density_ML_YF_baseline,0.0
short_time_scaling_Diffusion_ML_YF_follow-up,0.0
long_time_scaling_Diffusion_ML_YF_follow-up,0.0
long_time_scaling_Diffusion_ML_YF_baseline,0.0
mean_value_ML_YO_follow-up,0.0
mean_peak_Sway_Density_YO_follow-up,0.0
maximal_distance_ML_YO_follow-up,0.0
range_ratio_ML_AND_AP_YO_follow-up,0.0
coefficient_sway_direction_ML_AND_AP_YO_baseline,0.0
mean_distance_AP_YO_follow-up,0.0
mean_distance_ML_YO_follow-up,0.0
coefficient_sway_direction_ML_AND_AP_YO_follow-up,0.0
mean_value_AP_YO_baseline,0.0
long_time_scaling_Diffusion_AP_YF_follow-up,0.0
maximal_distance_AP_YO_follow-up,0.0
