iter	Passed	Remaining
0	12	3756
1	22	3274
2	31	3083
3	40	2970
4	49	2907
5	58	2849
6	68	2843
7	77	2805
8	86	2775
9	95	2750
10	104	2727
11	114	2711
12	123	2702
13	132	2686
14	142	2686
15	151	2667
16	160	2651
17	170	2640
18	179	2626
19	188	2614
20	197	2599
21	206	2587
22	216	2576
23	225	2562
24	234	2553
25	243	2541
26	253	2530
27	262	2518
28	271	2506
29	280	2494
30	289	2482
31	298	2472
32	307	2461
33	316	2450
34	326	2446
35	336	2442
36	346	2434
37	355	2422
38	364	2411
39	373	2400
40	382	2390
41	392	2380
42	401	2370
43	410	2360
44	419	2350
45	428	2338
46	437	2328
47	446	2317
48	457	2316
49	467	2310
50	476	2300
51	486	2290
52	495	2279
53	504	2268
54	513	2258
55	522	2248
56	531	2239
57	540	2229
58	550	2218
59	559	2208
60	568	2197
61	577	2187
62	586	2177
63	595	2167
64	604	2158
65	613	2147
66	623	2138
67	632	2128
68	641	2118
69	650	2108
70	659	2098
71	668	2090
72	677	2080
73	687	2072
74	696	2062
75	705	2052
76	714	2042
77	724	2034
78	733	2024
79	742	2014
80	751	2005
81	761	1995
82	770	1985
83	779	1975
84	788	1966
85	797	1956
86	806	1947
87	815	1937
88	825	1928
89	834	1919
90	844	1912
91	855	1905
92	864	1896
93	874	1888
94	883	1878
95	892	1869
96	902	1860
97	911	1850
98	920	1841
99	929	1831
100	939	1822
101	948	1813
102	957	1803
103	966	1794
104	976	1784
105	986	1776
106	995	1767
107	1004	1757
108	1013	1747
109	1022	1738
110	1032	1729
111	1041	1719
112	1050	1710
113	1059	1701
114	1068	1691
115	1078	1682
116	1087	1672
117	1096	1663
118	1127	1687
119	1138	1678
120	1147	1668
121	1156	1658
122	1165	1648
123	1174	1638
124	1184	1629
125	1194	1620
126	1203	1610
127	1213	1601
128	1222	1592
129	1231	1582
130	1241	1572
131	1250	1562
132	1259	1553
133	1268	1543
134	1278	1533
135	1287	1523
136	1296	1514
137	1305	1504
138	1314	1494
139	1324	1485
140	1333	1475
141	1342	1465
142	1352	1456
143	1362	1447
144	1372	1438
145	1382	1430
146	1393	1422
147	1403	1413
148	1413	1403
149	1422	1394
150	1432	1384
151	1441	1374
152	1451	1365
153	1460	1356
154	1469	1346
155	1479	1336
156	1488	1327
157	1497	1317
158	1506	1307
159	1515	1298
160	1526	1289
161	1535	1279
162	1544	1269
163	1553	1259
164	1562	1249
165	1571	1240
166	1580	1230
167	1589	1220
168	1598	1211
169	1608	1201
170	1617	1191
171	1626	1181
172	1635	1172
173	1644	1162
174	1653	1152
175	1662	1143
176	1672	1133
177	1681	1123
178	1690	1114
179	1699	1104
180	1708	1095
181	1717	1085
182	1727	1075
183	1736	1066
184	1745	1056
185	1755	1047
186	1764	1037
187	1773	1028
188	1782	1018
189	1791	1009
190	1801	999
191	1810	989
192	1819	980
193	1829	971
194	1838	961
195	1847	952
196	1856	942
197	1865	932
198	1875	923
199	1884	913
200	1893	904
201	1902	894
202	1911	885
203	1921	875
204	1930	866
205	1939	856
206	1948	847
207	1958	837
208	1967	828
209	1976	818
210	1985	809
211	1994	799
212	2003	790
213	2012	780
214	2022	771
215	2031	761
216	2040	752
217	2049	742
218	2058	733
219	2067	723
220	2076	714
221	2085	704
222	2095	695
223	2104	685
224	2113	676
225	2122	666
226	2131	657
227	2140	647
228	2149	638
229	2158	628
230	2167	619
231	2176	609
232	2186	600
233	2195	591
234	2204	581
235	2214	572
236	2224	563
237	2233	553
238	2242	544
239	2251	534
240	2260	525
241	2269	515
242	2278	506
243	2288	497
244	2297	487
245	2307	478
246	2316	468
247	2326	459
248	2335	450
249	2344	440
250	2353	431
251	2362	421
252	2372	412
253	2381	403
254	2390	393
255	2399	384
256	2408	374
257	2417	365
258	2426	356
259	2436	346
260	2445	337
261	2455	327
262	2464	318
263	2473	309
264	2482	299
265	2491	290
266	2501	281
267	2510	271
268	2519	262
269	2528	252
270	2537	243
271	2546	234
272	2555	224
273	2564	215
274	2573	205
275	2582	196
276	2591	187
277	2600	177
278	2610	168
279	2619	159
280	2628	149
281	2637	140
282	2646	130
283	2655	121
284	2664	112
285	2673	102
286	2682	93
287	2691	84
288	2700	74
289	2709	65
290	2719	56
291	2728	46
292	2737	37
293	2746	28
294	2755	18
295	2764	9
296	2773	0
